%Дата;Номенклатура Наименование;Организация Наименование;Фактическое количество
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
28.02.2025;Авиатопливо ТС-1;Организация2;327,020
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.01.2024;Авиатопливо ТС-1;Организация2;0,000
31.05.2025;Авиатопливо ТС-1;Организация2;185,423
30.06.2025;Авиатопливо ТС-1;Организация2;185,423
30.04.2025;Авиатопливо ТС-1;Организация2;185,423
31.01.2025;Авиатопливо ТС-1;Организация2;327,020
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.06.2024;Авиатопливо ТС-1;Организация2;0,000
31.07.2024;Авиатопливо ТС-1;Организация2;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.08.2024;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
30.04.2025;Авиатопливо ТС-1;Организация2;65,640
30.09.2025;Авиатопливо ТС-1;Организация1;308,561
30.06.2025;Авиатопливо ТС-1;Организация1;582,232
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;110,211
31.08.2024;Авиатопливо ТС-1;Организация1;180,846
31.08.2024;Авиатопливо ТС-1;Организация1;424,428
30.11.2025;Авиатопливо ТС-1;Организация1;563,357
31.05.2025;Авиатопливо ТС-1;Организация1;693,130
31.03.2025;Авиатопливо ТС-1;Организация1;71,338
31.08.2024;Авиатопливо ТС-1;Организация1;110,211
31.08.2024;Авиатопливо ТС-1;Организация1;56,858
31.07.2025;Авиатопливо ТС-1;Организация1;64,990
31.08.2024;Авиатопливо ТС-1;Организация1;62,747
31.08.2024;Авиатопливо ТС-1;Организация1;468,181
31.08.2024;Авиатопливо ТС-1;Организация1;62,705
31.08.2025;Авиатопливо ТС-1;Организация1;0,000
30.11.2024;Авиатопливо ТС-1;Организация1;71,338
31.07.2025;Авиатопливо ТС-1;Организация1;535,287
31.10.2024;Авиатопливо ТС-1;Организация1;0,000
31.08.2025;Авиатопливо ТС-1;Организация1;64,990
31.05.2025;Авиатопливо ТС-1;Организация1;64,990
31.10.2024;Авиатопливо ТС-1;Организация1;0,000
31.05.2025;Авиатопливо ТС-1;Организация1;0,000
30.09.2025;Авиатопливо ТС-1;Организация1;0,000
30.09.2024;Авиатопливо ТС-1;Организация1;0,000
31.10.2025;Авиатопливо ТС-1;Организация2;118,767
31.08.2024;Авиатопливо ТС-1;Организация1;0,000
31.07.2025;Авиатопливо ТС-1;Организация1;582,232
31.03.2024;Авиатопливо ТС-1;Организация2;235,205
31.08.2024;Авиатопливо ТС-1;Организация1;169,256
31.12.2024;Авиатопливо ТС-1;Организация2;0,000
30.11.2024;Авиатопливо ТС-1;Организация2;347,277
31.01.2024;Авиатопливо ТС-1;Организация2;85,211
31.05.2025;Авиатопливо ТС-1;Организация1;582,232
31.05.2025;Авиатопливо ТС-1;Организация1;535,287
30.09.2024;Авиатопливо ТС-1;Организация1;62,767
31.10.2024;Авиатопливо ТС-1;Организация1;71,338
