%Дата;Номенклатура Наименование;Организация Наименование;ДвижениеНП
16.09.2024;Авиатопливо ТС-1;Организация1;-155,868
17.09.2024;Авиатопливо ТС-1;Организация1;-131,378
18.09.2024;Авиатопливо ТС-1;Организация1;-77,934
25.09.2024;Авиатопливо ТС-1;Организация1;-98,208
26.09.2024;Авиатопливо ТС-1;Организация1;-102,564
27.09.2024;Авиатопливо ТС-1;Организация1;-127,116
01.10.2024;Авиатопливо ТС-1;Организация2;138,006
02.10.2024;Авиатопливо ТС-1;Организация2;-197,236
03.10.2024;Авиатопливо ТС-1;Организация2;-149,467
04.10.2024;Авиатопливо ТС-1;Организация2;-175,944
05.10.2024;Авиатопливо ТС-1;Организация2;-81,533
07.10.2024;Авиатопливо ТС-1;Организация2;-21,614
08.10.2024;Авиатопливо ТС-1;Организация2;-136,614
09.10.2024;Авиатопливо ТС-1;Организация2;-102,5
15.10.2024;Авиатопливо ТС-1;Организация2;-31,341
17.10.2024;Авиатопливо ТС-1;Организация2;-284,758
18.10.2024;Авиатопливо ТС-1;Организация2;-8,005
21.10.2024;Авиатопливо ТС-1;Организация2;-130,257
23.10.2024;Авиатопливо ТС-1;Организация2;-171,034
24.10.2024;Авиатопливо ТС-1;Организация2;150,283
25.10.2024;Авиатопливо ТС-1;Организация2;-156,695
30.10.2024;Авиатопливо ТС-1;Организация2;-65,151
10.10.2024;Авиатопливо ТС-1;Организация2;424,426
11.10.2024;Авиатопливо ТС-1;Организация2;356,777
14.10.2024;Авиатопливо ТС-1;Организация2;167,253
16.10.2024;Авиатопливо ТС-1;Организация2;356,275
19.10.2024;Авиатопливо ТС-1;Организация2;64,371
22.10.2024;Авиатопливо ТС-1;Организация2;66,599
29.10.2024;Авиатопливо ТС-1;Организация2;461,603
01.10.2024;Авиатопливо ТС-1;Организация1;-53,596
10.10.2024;Авиатопливо ТС-1;Организация1;-53,46
11.10.2024;Авиатопливо ТС-1;Организация1;-49,166
14.10.2024;Авиатопливо ТС-1;Организация1;-73,842
18.10.2024;Авиатопливо ТС-1;Организация1;-49,228
05.11.2024;Авиатопливо ТС-1;Организация2;-18,283
06.11.2024;Авиатопливо ТС-1;Организация2;454,961
07.11.2024;Авиатопливо ТС-1;Организация2;-50,544
08.11.2024;Авиатопливо ТС-1;Организация2;-94,334
12.11.2024;Авиатопливо ТС-1;Организация2;-144,148
26.11.2024;Авиатопливо ТС-1;Организация2;-135,323
27.11.2024;Авиатопливо ТС-1;Организация2;60,318
28.11.2024;Авиатопливо ТС-1;Организация2;100,409
29.11.2024;Авиатопливо ТС-1;Организация2;-34,169
09.11.2024;Авиатопливо ТС-1;Организация2;342,45
10.11.2024;Авиатопливо ТС-1;Организация2;257,099
14.11.2024;Авиатопливо ТС-1;Организация2;366,026
17.11.2024;Авиатопливо ТС-1;Организация2;397,19
21.11.2024;Авиатопливо ТС-1;Организация2;353,616
22.11.2024;Авиатопливо ТС-1;Организация2;236,725
24.11.2024;Авиатопливо ТС-1;Организация2;62,772
02.12.2024;Авиатопливо ТС-1;Организация2;-40,5
03.12.2024;Авиатопливо ТС-1;Организация2;-40,994
04.12.2024;Авиатопливо ТС-1;Организация2;-282,002
05.12.2024;Авиатопливо ТС-1;Организация2;292,301
08.12.2024;Авиатопливо ТС-1;Организация2;-150,689
09.12.2024;Авиатопливо ТС-1;Организация2;-4,49
10.12.2024;Авиатопливо ТС-1;Организация2;-180,537
11.12.2024;Авиатопливо ТС-1;Организация2;-107,853
16.12.2024;Авиатопливо ТС-1;Организация2;-166,612
18.12.2024;Авиатопливо ТС-1;Организация2;-64,271
19.12.2024;Авиатопливо ТС-1;Организация2;-334,658
20.12.2024;Авиатопливо ТС-1;Организация2;-53,485
21.12.2024;Авиатопливо ТС-1;Организация2;-53,921
23.12.2024;Авиатопливо ТС-1;Организация2;-28,124
24.12.2024;Авиатопливо ТС-1;Организация2;-316,252
25.12.2024;Авиатопливо ТС-1;Организация2;-44,977
26.12.2024;Авиатопливо ТС-1;Организация2;-79,381
27.12.2024;Авиатопливо ТС-1;Организация2;-139,322
28.12.2024;Авиатопливо ТС-1;Организация2;-163,143
29.12.2024;Авиатопливо ТС-1;Организация2;395,661
13.01.2025;Авиатопливо ТС-1;Организация2;-76,517
15.01.2025;Авиатопливо ТС-1;Организация2;-134,829
17.01.2025;Авиатопливо ТС-1;Организация2;-282,072
20.01.2025;Авиатопливо ТС-1;Организация2;-35,503
22.01.2025;Авиатопливо ТС-1;Организация2;-12,166
24.01.2025;Авиатопливо ТС-1;Организация2;-151,86
25.01.2025;Авиатопливо ТС-1;Организация2;295,781
28.01.2025;Авиатопливо ТС-1;Организация2;-81,994
29.01.2025;Авиатопливо ТС-1;Организация2;-46,284
30.01.2025;Авиатопливо ТС-1;Организация2;-277,606
31.01.2025;Авиатопливо ТС-1;Организация2;-21,848
02.01.2025;Авиатопливо ТС-1;Организация2;327,02
03.01.2025;Авиатопливо ТС-1;Организация2;240
05.01.2025;Авиатопливо ТС-1;Организация2;444,309
07.01.2025;Авиатопливо ТС-1;Организация2;582,88
26.01.2025;Авиатопливо ТС-1;Организация2;345,34
27.01.2025;Авиатопливо ТС-1;Организация2;64,572
06.02.2025;Авиатопливо ТС-1;Организация2;-47,454
14.02.2025;Авиатопливо ТС-1;Организация2;-135,719
17.02.2025;Авиатопливо ТС-1;Организация2;-24,678
19.02.2025;Авиатопливо ТС-1;Организация2;-106,613
20.02.2025;Авиатопливо ТС-1;Организация2;140,991
21.02.2025;Авиатопливо ТС-1;Организация2;-31,281
25.02.2025;Авиатопливо ТС-1;Организация2;-214,848
26.02.2025;Авиатопливо ТС-1;Организация2;89,584
02.02.2025;Авиатопливо ТС-1;Организация2;335,986
15.02.2025;Авиатопливо ТС-1;Организация2;112,69
16.02.2025;Авиатопливо ТС-1;Организация2;180,132
27.02.2025;Авиатопливо ТС-1;Организация2;118,597
03.03.2025;Авиатопливо ТС-1;Организация2;-117,333
05.03.2025;Авиатопливо ТС-1;Организация2;-46,972
06.03.2025;Авиатопливо ТС-1;Организация2;-160,732
07.03.2025;Авиатопливо ТС-1;Организация2;-85,868
15.03.2025;Авиатопливо ТС-1;Организация2;-54,071
18.03.2025;Авиатопливо ТС-1;Организация2;-31,746
19.03.2025;Авиатопливо ТС-1;Организация2;-57,083
25.03.2025;Авиатопливо ТС-1;Организация2;-166,841
26.03.2025;Авиатопливо ТС-1;Организация2;-47,503
04.04.2025;Авиатопливо ТС-1;Организация2;-37,67
08.04.2025;Авиатопливо ТС-1;Организация2;-230,163
01.04.2025;Авиатопливо ТС-1;Организация2;-39,817
18.04.2025;Авиатопливо ТС-1;Организация2;424,698
19.04.2025;Авиатопливо ТС-1;Организация2;403,188
20.04.2025;Авиатопливо ТС-1;Организация2;238,68
29.05.2025;Авиатопливо ТС-1;Организация2;-115,889
13.05.2025;Авиатопливо ТС-1;Организация2;-118,942
15.05.2025;Авиатопливо ТС-1;Организация2;35,192
17.05.2025;Авиатопливо ТС-1;Организация2;-36,081
23.05.2025;Авиатопливо ТС-1;Организация1;-78,387
27.05.2025;Авиатопливо ТС-1;Организация1;-78,288
